dirL,dirR,vL,vR,szL,szR,sfL,sfR,BvL,BvR,BsfL,BsfR,colDirL,colDirR,centTask,stabQn,fixCross,fovGap,fovFade,periGap,periFade,annuR,annuWidth,trialT,trialN
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.16,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.01,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.03,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.08,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.12,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.16,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.01,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.03,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.08,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.12,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.16,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.01,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.03,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.08,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.12,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.16,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.01,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.03,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.08,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.12,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.16,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.01,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.03,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.08,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.12,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.16,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.01,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.03,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.08,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.12,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.16,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.01,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.03,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.08,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.12,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.16,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.01,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.03,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.08,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.12,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.16,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.01,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.03,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.08,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.12,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.01,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.03,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.08,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.12,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.16,0.16,0,0,1,0,0,0,2,96,32,0,0,1,1
