dirL,dirR,vL,vR,szL,szR,sfL,sfR,BvL,BvR,BsfL,BsfR,colDirL,colDirR,centTask,stabQn,fixCross,fovGap,fovFade,periGap,periFade,annuR,annuWidth,trialT,trialN
180,0,1.2,9.6,256,256,0.6,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.01,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.05,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.2,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.4,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.6,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.01,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.05,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.2,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.4,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.6,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.01,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.05,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.2,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.4,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.6,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.01,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.05,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.1,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.2,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.4,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,1.2,9.6,256,256,0.6,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.01,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.05,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.2,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.4,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.6,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.01,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.05,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.2,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.4,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.6,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.01,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.05,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.2,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.4,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.6,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.01,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.05,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.2,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.4,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.6,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.01,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.05,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.2,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.4,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.6,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.01,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.05,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.2,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.4,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.6,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.01,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.05,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.2,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.4,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.6,0.01,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.01,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.05,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.2,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.4,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.6,0.05,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.01,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.05,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.2,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.4,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.6,0.1,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.01,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.05,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.2,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.4,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.6,0.2,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.01,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.05,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.2,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.4,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.6,0.4,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.01,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.05,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.1,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.2,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.4,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
180,0,9.6,1.2,256,256,0.6,0.6,0.5,0.5,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,1
